Node Number	X Location (m)	Y Location (m)	Z Location (m)	
293	-8.0656e-004	0.	-5.2026e-004	
294	7.8905e-004	0.	-5.2802e-004	
295	1.2345e-004	0.	4.0644e-004	
296	4.1477e-004	0.	3.0012e-004	
297	8.507e-005	0.	-2.8894e-004	
298	-1.0945e-004	0.	2.1951e-004	
299	-4.5261e-004	0.	3.8958e-005	
300	3.3252e-004	0.	-6.0147e-004	
301	-4.0877e-004	0.	-7.6114e-004	
302	-1.1299e-004	0.	-6.9844e-004	
303	-6.9576e-004	0.	6.0027e-004	
304	6.6436e-004	0.	4.4375e-004	
305	5.9326e-004	0.	5.8264e-004	
306	-7.711e-004	0.	5.4292e-004	
307	4.9597e-004	0.	-4.3788e-004	
308	-5.8179e-004	0.	-4.9383e-004	
309	6.8314e-004	0.	1.5115e-004	
310	4.9966e-004	0.	8.1499e-004	
311	8.2282e-004	0.	-8.0393e-004	
312	-8.218e-004	0.	-9.1349e-004	
313	7.7681e-004	0.	-2.0405e-004	
314	-4.1614e-004	0.	6.7649e-004	
315	-1.4403e-004	0.	5.5556e-004	
316	-1.6947e-004	0.	8.006e-004	
317	1.711e-004	0.	-5.8371e-004	
318	-6.6461e-004	0.	9.1358e-004	
319	-3.6735e-004	0.	4.1078e-004	
320	7.0377e-004	0.	-1.5187e-004	
321	-5.8719e-004	0.	-2.5091e-004	
322	5.2461e-004	0.	1.2909e-004	
323	-7.327e-005	0.	-9.7346e-005	
324	8.2322e-004	0.	2.6238e-004	
325	-5.8722e-004	0.	2.6652e-004	
326	-1.268e-004	0.	1.2963e-004	
327	2.5119e-004	0.	8.3351e-004	
328	-9.004e-005	0.	-3.2839e-004	
329	-2.7542e-004	0.	-8.468e-004	
330	-4.0742e-004	0.	-5.4648e-004	
331	-6.4245e-004	0.	-8.5388e-004	
332	-6.3852e-004	0.	-8.9287e-005	
333	8.4182e-004	0.	5.2469e-005	
334	1.2068e-005	0.	-5.6481e-004	
335	8.0383e-004	0.	4.8751e-004	
336	-1.2963e-004	0.	4.6914e-004	
337	-3.618e-004	0.	3.1969e-004	
338	6.257e-004	0.	-1.8265e-004	
339	6.6193e-004	0.	2.9023e-004	
340	-9.1659e-004	0.	2.8906e-004	
341	3.818e-004	0.	-1.1635e-004	
342	4.1622e-004	0.	6.4759e-004	
343	-9.3083e-004	0.	-6.9566e-005	
344	5.2469e-005	0.	-9.1358e-004	
345	-4.4283e-004	0.	3.6211e-004	
346	-2.9059e-004	0.	4.5928e-004	
347	-9.2098e-004	0.	4.4837e-004	
348	2.5762e-004	0.	1.9612e-004	
349	6.8824e-004	0.	4.8976e-005	
350	-5.6964e-004	0.	8.9725e-004	
351	-2.9018e-004	0.	2.5521e-005	
352	-2.8097e-004	0.	2.8283e-004	
353	-3.9357e-004	0.	5.8711e-004	
354	-6.0944e-004	0.	4.4894e-004	
355	-5.483e-004	0.	5.7659e-004	
356	-2.4776e-005	0.	6.0395e-004	
357	5.0239e-005	0.	8.335e-004	
358	-3.4474e-005	0.	-8.5632e-004	
359	-7.5297e-004	0.	7.8507e-004	
360	3.7037e-004	0.	4.4444e-004	
361	-8.5259e-004	0.	-3.5153e-004	
362	-1.1932e-004	0.	3.1044e-004	
363	9.2336e-004	0.	-6.6017e-004	
364	-8.5385e-004	0.	-6.8151e-004	
365	8.4127e-004	0.	-2.5128e-004	
366	5.6714e-005	0.	-6.5049e-005	
367	-4.9263e-005	0.	3.6808e-004	
368	-7.1124e-006	0.	1.4893e-004	
369	-4.8098e-004	0.	-1.2463e-004	
370	1.1878e-004	0.	-3.6143e-004	
371	1.2826e-004	0.	8.5929e-005	
372	8.9676e-004	0.	-8.3869e-005	
373	3.4116e-004	0.	8.2679e-004	
374	8.5064e-004	0.	6.8712e-004	
375	-3.7563e-004	0.	9.2472e-004	
376	6.5483e-004	0.	-6.9607e-004	
377	-6.8497e-004	0.	-7.0001e-004	
378	-6.8245e-004	0.	-2.8325e-004	
379	2.6284e-004	0.	-1.5633e-005	
380	4.3306e-004	0.	-6.7912e-004	
381	4.7023e-004	0.	-5.493e-004	
382	2.1493e-004	0.	-7.2886e-004	
383	4.0689e-004	0.	-9.1152e-004	
384	8.6811e-004	0.	8.9485e-004	
385	5.2545e-004	0.	3.3461e-004	
386	7.7525e-004	0.	9.2092e-004	
387	-9.2124e-004	0.	6.0305e-004	
388	1.0451e-004	0.	2.9613e-004	
389	-6.3079e-004	0.	1.6155e-005	
390	-4.8809e-004	0.	1.3834e-004	
391	-6.6933e-004	0.	2.1451e-004	
392	-9.0999e-004	0.	-2.0486e-004	
393	-9.0928e-004	0.	1.9855e-004	
394	-8.3271e-004	0.	2.4481e-004	
395	-1.358e-004	0.	-3.9506e-004	
396	8.3888e-004	0.	1.6025e-004	
397	-3.7386e-004	0.	-2.1363e-005	
398	-4.0963e-004	0.	-9.2825e-004	
399	-7.9048e-004	0.	-7.8253e-005	
400	-9.051e-004	0.	-8.293e-004	
401	7.9088e-005	0.	6.6626e-004	
402	6.9866e-004	0.	-2.6252e-004	
403	-1.949e-004	0.	-8.4884e-004	
404	6.3207e-004	0.	-4.2787e-004	
405	-6.3941e-004	0.	-4.3618e-004	
406	9.2902e-004	0.	3.3085e-004	
407	-9.2133e-004	0.	7.7723e-004	
408	5.5272e-004	0.	-5.5313e-004	
409	4.7936e-004	0.	-3.6038e-004	
410	-9.1327e-004	0.	-5.2339e-004	
411	7.019e-004	0.	-8.3538e-004	
412	5.0213e-004	0.	6.1934e-004	
413	5.756e-004	0.	6.8814e-004	
414	3.416e-004	0.	-2.8466e-004	
415	-3.4894e-004	0.	-2.7259e-004	
416	-2.9516e-004	0.	-4.3684e-004	
417	-4.8886e-004	0.	-3.6145e-004	
418	2.9278e-004	0.	-4.5524e-004	
419	8.9665e-004	0.	-3.7201e-004	
420	-2.3244e-004	0.	-1.7214e-004	
421	3.7526e-004	0.	-8.1276e-004	
422	7.8381e-004	0.	-6.2391e-004	
423	-7.9049e-004	0.	-6.2133e-004	
424	5.0334e-004	0.	-1.4342e-004	
425	3.1481e-004	0.	3.2099e-004	
426	3.8572e-005	0.	4.8195e-004	
427	9.2593e-004	0.	-9.2593e-004	
428	4.6141e-004	0.	9.0609e-004	
429	7.1116e-004	0.	-4.608e-005	
430	3.8679e-005	0.	-3.7378e-004	
431	3.0663e-004	0.	-8.9175e-004	
432	-2.0216e-004	0.	1.6667e-004	
433	1.0984e-004	0.	9.3029e-004	
434	7.5609e-004	0.	5.5215e-004	
435	8.9434e-004	0.	-7.9064e-004	
436	-2.2347e-004	0.	-5.8354e-004	
437	4.8659e-006	0.	-2.2065e-004	
438	2.0023e-004	0.	-1.6667e-004	
439	-8.9767e-004	0.	8.741e-004	
440	-5.5706e-004	0.	-8.9429e-004	
441	-7.1343e-005	0.	7.181e-004	
442	-8.4023e-004	0.	4.0904e-004	
443	-7.3097e-004	0.	6.9795e-004	
444	-9.8307e-005	0.	-4.733e-004	
445	9.542e-005	0.	-5.2175e-004	
446	-3.4819e-004	0.	-6.9464e-004	
447	2.5406e-004	0.	-6.4538e-004	
448	-6.929e-004	0.	4.9691e-004	
449	1.7593e-004	0.	-2.5e-004	
450	5.1439e-004	0.	5.2936e-004	
451	-4.0996e-005	0.	-6.3583e-004	
452	-4.9375e-004	0.	8.5314e-004	
453	9.0367e-004	0.	4.2091e-004	
454	3.7685e-004	0.	-5.2235e-004	
455	-4.9311e-004	0.	-4.4441e-004	
456	-7.6842e-004	0.	-3.1837e-004	
457	-2.843e-004	0.	7.474e-004	
458	-2.2106e-004	0.	9.1898e-004	
459	-2.1037e-004	0.	7.4985e-005	
460	-2.2246e-005	0.	-7.1649e-004	
461	7.43e-004	0.	-9.2027e-004	
462	9.223e-004	0.	7.3313e-004	
463	5.4972e-004	0.	8.6782e-004	
464	6.0674e-004	0.	8.8728e-005	
465	5.8735e-004	0.	1.7284e-004	
466	7.6872e-004	0.	7.2955e-004	
467	-8.0061e-004	0.	-8.1141e-004	
468	8.2423e-004	0.	-9.2536e-004	
469	5.1452e-004	0.	-9.1522e-004	
470	-2.2583e-004	0.	6.0265e-004	
471	-5.0507e-004	0.	7.1241e-004	
472	-7.0215e-004	0.	-3.7773e-004	
473	1.5801e-004	0.	8.3844e-004	
474	7.2155e-004	0.	2.404e-004	
475	-3.1529e-004	0.	-7.713e-004	
476	-2.3081e-004	0.	-9.2322e-004	
477	1.1742e-004	0.	-6.5005e-004	
478	-6.2309e-004	0.	8.2512e-004	
479	-4.5253e-004	0.	4.5127e-004	
480	-3.6589e-004	0.	-8.443e-004	
481	-5.2582e-004	0.	4.0475e-004	
482	7.2116e-004	0.	8.3041e-004	
483	-6.5033e-004	0.	6.803e-004	
484	-9.5958e-005	0.	7.9602e-004	
485	5.1708e-005	0.	3.5277e-004	
486	5.3857e-004	0.	3.7252e-005	
487	-5.6943e-004	0.	-1.4905e-004	
488	-6.7187e-004	0.	3.135e-004	
489	9.1832e-004	0.	2.2242e-004	
490	-1.435e-004	0.	3.3657e-005	
491	2.2393e-004	0.	4.6338e-004	
492	2.9538e-004	0.	9.1521e-004	
493	2.7315e-004	0.	-5.4321e-004	
494	-8.6552e-004	0.	-1.1715e-004	
495	7.7696e-006	0.	9.2616e-004	
496	7.981e-004	0.	-4.091e-005	
497	-1.6011e-004	0.	-3.1173e-004	
498	-4.9357e-004	0.	-5.2058e-004	
499	6.6188e-004	0.	7.4927e-004	
500	-7.41e-004	0.	-8.7037e-004	
501	-5.986e-004	0.	-5.922e-004	
502	8.8538e-005	0.	-1.4526e-005	
503	-7.2372e-004	0.	-1.3568e-004	
504	-8.2067e-004	0.	9.172e-004	
505	-5.5275e-004	0.	7.3168e-005	
506	-4.6585e-004	0.	-5.9779e-004	
507	1.1677e-004	0.	7.4989e-004	
508	2.9563e-004	0.	7.4847e-004	
509	6.2068e-005	0.	1.1767e-004	
510	-4.0664e-004	0.	1.3341e-004	
511	3.4848e-004	0.	5.8625e-004	
512	8.6022e-004	0.	-1.6107e-004	
513	7.8676e-004	0.	4.1438e-004	
514	-3.1272e-004	0.	-9.2203e-004	
515	-8.2746e-004	0.	7.2094e-004	
516	9.2041e-004	0.	6.5692e-004	
517	-8.719e-004	0.	-4.4236e-004	
518	-4.3664e-004	0.	2.7184e-004	
519	-2.037e-004	0.	4.1975e-004	
520	5.47e-004	0.	-2.0543e-004	
521	4.5593e-004	0.	-8.7447e-005	
522	5.8333e-004	0.	2.5309e-004	
523	-2.7751e-004	0.	1.9474e-004	
524	3.7137e-004	0.	3.7324e-004	
525	4.3115e-004	0.	5.6294e-004	
526	-2.2556e-004	0.	-1.011e-004	
527	-3.6561e-004	0.	-1.9582e-004	
528	9.1366e-004	0.	8.1719e-004	
529	-8.5804e-004	0.	-2.9045e-005	
530	5.9553e-004	0.	9.2826e-004	
531	5.0243e-005	0.	-8.2288e-004	
532	-9.2251e-004	0.	-7.3532e-004	
533	-5.1611e-004	0.	3.1502e-004	
534	3.3e-004	0.	2.4084e-004	
535	-8.4378e-004	0.	4.9296e-004	
536	-2.1666e-004	0.	5.0815e-004	
537	-3.7878e-004	0.	4.9957e-004	
538	-7.1215e-004	0.	-3.4063e-005	
539	2.4686e-004	0.	2.8177e-004	
540	6.1948e-004	0.	-4.7304e-006	
541	5.9382e-004	0.	4.8755e-004	
542	5.223e-004	0.	4.3952e-004	
543	3.1242e-004	0.	-3.6645e-004	
544	-3.2568e-004	0.	-3.5288e-004	
545	2.0317e-004	0.	-3.8962e-004	
546	2.7321e-004	0.	-2.2607e-004	
547	-2.8751e-004	0.	-2.2402e-004	
548	-2.2889e-004	0.	-3.7521e-004	
549	-4.1858e-004	0.	-3.1891e-004	
550	-3.035e-004	0.	5.5063e-004	
551	-6.8045e-004	0.	-9.3234e-004	
552	-5.9866e-004	0.	3.5903e-004	
553	-7.6379e-004	0.	4.5178e-004	
554	-7.1816e-004	0.	-4.7438e-004	
555	7.175e-004	0.	-4.7931e-004	
556	5.9532e-004	0.	-9.2173e-004	
557	5.5027e-004	0.	-7.7342e-004	
558	1.6163e-004	0.	6.6715e-004	
559	2.0981e-004	0.	9.1957e-004	
560	7.4691e-004	0.	-3.4105e-004	
561	-2.0149e-004	0.	3.3914e-004	
562	-1.9891e-004	0.	2.5332e-004	
563	-3.4782e-004	0.	8.2864e-004	
564	-4.8213e-004	0.	6.2372e-004	
565	-6.8152e-004	0.	4.0543e-004	
566	-4.6515e-004	0.	5.3834e-004	
567	6.6725e-004	0.	3.6572e-004	
568	9.1879e-004	0.	1.3657e-004	
569	-4.6194e-005	0.	-3.8853e-004	
570	1.5494e-004	0.	-1.0876e-004	
571	-7.067e-004	0.	6.5183e-005	
572	-5.7352e-004	0.	1.7392e-004	
573	6.0538e-004	0.	-6.2415e-004	
574	6.902e-004	0.	-6.2169e-004	
575	-2.8667e-004	0.	-6.3481e-004	
576	2.1113e-004	0.	4.9096e-005	
577	3.3791e-004	0.	7.7097e-005	
578	4.456e-005	0.	2.3611e-004	
579	3.5416e-005	0.	-6.4948e-004	
580	6.7204e-004	0.	5.2917e-004	
581	2.963e-004	0.	4.0741e-004	
582	5.219e-004	0.	7.4929e-004	
583	-7.513e-004	0.	2.7883e-004	
584	2.0616e-004	0.	5.7609e-004	
585	-6.7554e-004	0.	7.6157e-004	
586	-1.245e-004	0.	3.9431e-004	
587	-9.2147e-004	0.	3.7243e-004	
588	-9.2599e-004	0.	-6.6494e-004	
589	8.4464e-004	0.	-6.8659e-004	
590	2.3738e-004	0.	-8.9554e-005	
591	-2.1907e-004	0.	-1.4878e-005	
592	3.7473e-004	0.	-2.0362e-004	
593	3.3131e-004	0.	6.6642e-004	
594	9.1483e-004	0.	-4.4986e-004	
595	-9.1704e-004	0.	6.8054e-004	
596	8.2526e-004	0.	-3.2876e-004	
597	-3.637e-004	0.	2.1788e-004	
598	-4.9609e-004	0.	-9.2986e-004	
599	9.4252e-004	0.	-2.2974e-005	
600	-7.5168e-005	0.	-7.8042e-004	
601	5.5007e-004	0.	-4.1028e-004	
602	-6.2269e-004	0.	5.3549e-004	
603	-1.4771e-004	0.	-1.532e-004	
604	9.2956e-004	0.	4.8542e-005	
605	-1.8539e-004	0.	-6.5348e-004	
606	-2.9985e-004	0.	-6.2217e-005	
607	-4.964e-004	0.	-7.4491e-004	
608	-7.1315e-004	0.	-7.8405e-004	
609	-2.973e-004	0.	9.1565e-004	
610	-6.6244e-004	0.	-6.2139e-004	
611	-9.1745e-004	0.	-9.201e-004	
612	9.2514e-004	0.	-2.3148e-004	
613	-5.9828e-005	0.	9.2294e-005	
